자전거번호,등록일시,고장구분
SPB-43493,2022-01-03 6:42,기타 
SPB-55413,2022-01-03 6:46,기타 
SPB-55280,2022-01-03 7:01,단말기
SPB-32079,2022-01-03 7:04,체인
SPB-32079,2022-01-03 7:04,페달
SPB-31032,2022-01-03 7:12,기타 
SPB-39553,2022-01-03 7:14,체인
SPB-43651,2022-01-03 7:20,타이어 
SPB-33326,2022-01-03 7:27,기타 
SPB-38100,2022-01-03 7:35,체인
SPB-38100,2022-01-03 7:35,페달
SPB-44465,2022-01-03 7:37,기타 
SPB-40366,2022-01-03 7:38,기타 
SPB-46429,2022-01-03 7:38,기타 
SPB-39765,2022-01-03 7:47,기타 
SPB-36043,2022-01-03 7:47,기타 
SPB-35675,2022-01-03 7:49,기타 
SPB-30215,2022-01-03 7:50,기타 
SPB-51984,2022-01-03 7:52,기타 
SPB-52807,2022-01-03 7:52,기타 
SPB-31492,2022-01-03 7:53,단말기
SPB-30604,2022-01-03 7:56,체인
SPB-44097,2022-01-03 7:58,안장
SPB-51979,2022-01-03 8:02,기타 
SPB-51039,2022-01-03 8:02,기타 
SPB-38893,2022-01-03 8:02,체인
SPB-41931,2022-01-03 8:07,안장
SPB-55859,2022-01-03 8:10,체인
SPB-54150,2022-01-03 8:13,타이어 
SPB-42393,2022-01-03 8:14,안장
SPB-36164,2022-01-03 8:15,기타 
SPB-33144,2022-01-03 8:15,기타 
SPB-47926,2022-01-03 8:16,체인
SPB-80650,2022-01-03 8:16,기타 
SPB-37009,2022-01-03 8:17,체인
SPB-37009,2022-01-03 8:17,기타 
SPB-50260,2022-01-03 8:18,체인
SPB-36480,2022-01-03 8:19,기타 
SPB-33584,2022-01-03 8:21,체인
SPB-34251,2022-01-03 8:23,타이어 
SPB-55974,2022-01-03 8:25,안장
SPB-43728,2022-01-03 8:28,기타 
SPB-41417,2022-01-03 8:28,안장
SPB-31116,2022-01-03 8:29,기타 
SPB-54163,2022-01-03 8:29,체인
SPB-54163,2022-01-03 8:29,안장
SPB-43858,2022-01-03 8:31,안장
SPB-46578,2022-01-03 8:32,타이어 
SPB-40004,2022-01-03 8:32,기타 
SPB-48161,2022-01-03 8:33,안장
SPB-34185,2022-01-03 8:33,체인
SPB-34527,2022-01-03 8:34,기타 
SPB-35575,2022-01-03 8:34,기타 
SPB-33453,2022-01-03 8:34,기타 
SPB-33615,2022-01-03 8:36,타이어 
SPB-33615,2022-01-03 8:36,페달
SPB-43727,2022-01-03 8:36,안장
